CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,NOMGEO
31,014,0013,0035,Chebalam
31,017,0014,0075,X-Bohom
31,063,0004,0063,San Antonio Tedzidz
31,099,0080,0051,San Lorenzo
31,048,0010,018A,Kanachén
31,101,0006,0155,Hotzuc
31,048,0018,018A,Santa Cruz
31,101,0012,0140,San Antonio Chum
31,040,0004,0162,Cuauhtémoc
31,009,0003,0069,San Antonio Xiat
31,052,0017,0125,San Pedro Chacabal
31,067,0046,0043,Holactún
31,056,0149,0158,Huntochac
31,017,0083,008A,Muchucuxcáh
31,085,0057,0130,Santa Rita
31,084,0003,0078,Chenché de las Torres
31,021,0024,0063,Nuevo X-Habín
31,096,0070,0740,Tezoco Nuevo
30,003,0012,0022,Esperanza Malota
30,003,0014,0075,El Hato
30,003,0033,0183,Tecuanapa
30,003,0034,0056,Tierra Colorada
30,009,0183,0030,Yerbabuena
30,014,0050,0026,Rancho Trejo
30,044,0052,0241,San José de Tapia
30,014,0035,0026,Ignacio Zaragoza
30,023,0127,0059,La Noria (Arrieral)
30,058,0010,0088,Ahuimol Tzimpiasco
30,058,0306,0088,Tecuapa
30,058,0339,0088,Lindero Achupil
30,083,0024,0023,Huexotitla
30,124,0018,0013,Caristay
30,045,0395,0766,El Cerrito
13,028,0220,0051,Charco Azul
13,025,0040,0011,Tecoluco Calpan
13,028,0035,0013,Cruztitla
13,046,0016,0030,Cuamecaco
30,089,0019,0012,San Lorenzo
30,090,0033,0028,El Rincón
30,105,0030,0022,Ixcoalco
30,058,0070,0020,Monte Grande
30,061,0378,0030,El Sahuayo
30,061,0324,0242,Pueblo Viejo
30,061,0173,0346,Licenciado Benito Juárez
30,035,0007,0011,El Crucero
30,075,0026,0055,Pozo de Arena
30,070,0018,0326,Ignacio Allende el Grande
30,077,0056,0026,Viloria Viejo
30,077,0031,0079,Garza Blanca
30,077,0233,0079,Palma de Oro
30,112,0094,0046,Fraccionamiento de los 4 Soles
30,101,0007,0095,Loma Grande
30,105,0040,0018,Mata Ortiz
30,102,0067,0336,La Unión Paso Largo
30,102,0071,011A,Villanueva
30,105,0061,0018,Rancho del Padre
30,108,0107,0077,Emiliano Zapata
30,131,0022,1092,Cerro del Mesón
30,117,0037,0019,Tecoloteplán (Estación Omealca)
30,061,1269,0596,Cuauhtémoc Km. 17
30,122,0011,0057,Minzapan
30,141,0036,0086,Francisco I. Madero
30,143,0048,0131,Río Grande
30,143,0340,0131,Santa Elena
30,143,0022,0076,Francisco I. Madero
30,143,0030,0131,Medellín
30,149,0051,007A,Hilario C. Salas
30,149,0018,0099,Mirador Saltillo
30,123,0089,0285,Vega de Otates
30,132,0018,0015,Úrsulo Galván
30,134,0033,0024,Tamarindo
30,134,0029,0039,Remudadero
30,142,0066,0083,Tizamar
30,142,0006,0098,Bellaco
30,143,0346,0038,Valle Verde
30,157,0030,0014,Nueva Reforma
30,124,0110,0066,Tenixtepec
30,161,0044,0144,Pochuco
30,205,0072,0225,Cuve de los Marcos
30,151,0020,0082,La Encarnación
30,151,0075,0063,Estero de Milpas
30,159,0010,0019,Xopilapa
30,160,0004,0147,Agua Nacida
30,160,0062,0109,Hidalgo Amajac
30,157,0059,0033,Ignacio Zaragoza
30,175,0042,0050,Nuevo Progreso (Kilómetro 12)
30,181,0400,0043,Colonia Leandro Valle
30,181,0212,0151,Colonia Fernando Gutiérrez Barrios
30,181,0361,0151,Colonia las Flores (La Boca)
30,116,0023,0011,Ojapa
30,144,0132,0054,San Antonio
30,172,0007,0010,Emiliano Zapata
30,173,0018,008A,Laguna Chica (Pueblo Nuevo)
20,021,0003,0031,Colonia Agrícola Miguel Hidalgo
30,173,0032,0111,Puente Chilapa
30,174,0560,002A,Loma de la Villa
30,174,0117,0015,El Tamarindo
30,080,0005,0036,Ixcapantla
30,191,0009,0016,El Limoncito
30,105,0299,0018,Colonia Clara Córdoba Morán
